time,yaw_degrees
1878.89,-1.12308e-06
1878.89,-1.12457e-06
1878.89,-1.12606e-06
1878.89,-1.12755e-06
1878.89,-1.12904e-06
1878.89,-1.13053e-06
1878.89,-1.13202e-06
1878.89,-1.13351e-06
1878.89,-1.135e-06
1878.89,-1.13649e-06
1878.9,-1.13799e-06
1878.9,-1.13948e-06
1878.9,-1.14097e-06
1878.9,-1.14246e-06
1878.9,-1.14395e-06
1878.9,-1.14544e-06
1878.9,-1.14842e-06
1878.9,-1.14991e-06
1878.91,-1.1514e-06
1878.91,-1.15289e-06
1878.91,-1.15438e-06
1878.91,-1.15587e-06
1878.91,-1.15736e-06
1878.91,-1.15885e-06
1878.91,-1.16034e-06
1878.91,-1.16183e-06
1878.91,-1.16332e-06
1878.91,-1.16481e-06
1878.92,-1.1663e-06
1878.92,-1.16779e-06
1878.92,-1.16928e-06
1878.92,-1.17077e-06
1878.92,-1.17226e-06
1878.92,-1.17375e-06
1878.92,-1.17524e-06
1878.92,-1.17673e-06
1878.93,-1.17822e-06
1878.93,-1.17971e-06
1878.93,-1.1812e-06
1878.93,-1.18268e-06
1878.93,-1.18566e-06
1878.93,-1.18715e-06
1878.93,-1.18864e-06
1878.93,-1.19013e-06
1878.93,-1.19162e-06
1878.93,-1.19311e-06
1878.94,-1.1946e-06
1878.94,-1.19609e-06
1878.94,-1.19758e-06
1878.94,-1.19907e-06
1878.94,-1.20056e-06
1878.94,-1.20205e-06
1878.94,-1.20354e-06
1878.94,-1.20503e-06
1878.94,-1.20652e-06
1878.94,-1.20801e-06
1878.94,-1.2095e-06
1878.95,-1.21099e-06
1878.95,-1.21248e-06
1878.95,-1.21396e-06
1878.95,-1.21545e-06
1878.95,-1.21694e-06
1878.95,-1.21843e-06
1878.95,-1.21992e-06
1878.95,-1.22141e-06
1878.95,-1.2229e-06
1878.95,-1.22439e-06
1878.96,-1.22588e-06
1878.96,-1.22737e-06
1878.96,-1.22886e-06
1878.96,-1.23035e-06
1878.96,-1.23184e-06
1878.96,-1.23332e-06
1878.96,-1.23481e-06
1878.96,-1.2363e-06
1878.96,-1.23779e-06
1878.96,-1.23928e-06
1878.97,-1.24077e-06
1878.97,-1.24226e-06
1878.97,-1.24375e-06
1878.97,-1.24524e-06
1878.97,-1.24673e-06
1878.97,-1.24821e-06
1878.97,-1.2497e-06
1878.97,-1.25119e-06
1878.97,-1.25268e-06
1878.97,-1.25417e-06
1878.98,-1.25566e-06
1878.98,-1.25715e-06
1878.98,-1.25864e-06
1878.98,-1.26012e-06
1878.98,-1.26161e-06
1878.98,-1.2631e-06
1878.98,-1.26459e-06
1878.98,-1.26608e-06
1878.98,-1.26757e-06
1878.99,-1.26906e-06
1878.99,-1.27055e-06
1878.99,-1.27203e-06
1878.99,-1.27352e-06
1878.99,-1.27501e-06
1878.99,-1.2765e-06
1878.99,-1.27799e-06
1878.99,-1.27948e-06
1878.99,-1.28097e-06
1878.99,-1.28245e-06
1879,-1.28394e-06
1879,-1.28841e-06
1879,-1.2899e-06
1879,-1.29287e-06
1879,-1.29436e-06
1879,-1.29734e-06
1879,-1.29883e-06
1879.01,-1.30031e-06
1879.01,-1.3018e-06
1879.01,-1.30329e-06
1879.01,-1.30478e-06
1879.01,-1.30627e-06
1879.01,-1.30776e-06
